DEPTHL,MaxTL
4.798012281,4.29
3.657080641,3.67
2.533036868,3.31
2.994897517,3.67
3.828307046,4.47
3.550795731,4.47
3.550795731,3.67
4.474123891,4.47
2.764979827,4.47
3.260379462,3.56
2.493815463,3.67
3.116531133,3.84
3.939555352,4.07
2.177442994,4.29
2.718281828,3.31
2.833159967,3.84
3.175090186,4.47
3.59215967,4.29
4.775415973,4.29
2.833159967,4.47
3.422765743,3.67
2.97399186,3.84
2.584132875,3.84
1.825876218,3.84
3.624809481,3.67
2.193130193,3.67
2.046238734,3.67
4.642690837,4.29
2.046238734,3.84
2.994897517,3.67
2.467215007,4.47
2.313702583,3.67
3.145988144,4.47
2.193130193,3.56
4.03981681,3.67
2.328206061,3.56
3.975741382,4.29
3.39640144,3.56
2.426599088,3.67
3.30653116,4.47
4.102595023,4.29
1.634540449,3.67
3.751738359,4.07
2.658397785,3.67
3.790274561,4.29
1.845562035,3.31
3.508794408,4.29
4.204530553,4.29
2.833159967,3.67
4.123245133,4.29
3.015614793,4.29
3.036148314,3.31
2.284334656,3.31
3.405219093,3.67
2.94226957,3.67
3.759486786,4.29
3.696905203,4.29
2.920871431,3.67
4.990095376,4.29
4.322755253,4.29
3.975741382,3.67
2.833159967,3.31
2.533036868,3.56
4.018606123,4.29
3.85838236,3.67
3.27894171,3.67
4.211212298,4.29
3.378676078,3.67
4.011503401,3.67
2.533036868,3.67
1.701446747,3.67
1.921704426,3.67
2.730053958,3.67
3.378676092,3.67
2.520051369,3.31
4.191125405,3.67
3.517246978,3.31
2.145618797,3.35
2.899267123,3.31
3.673077976,4.29
4.52919858,4.29
2.60919408,3.67
4.43691129,4.29
3.665090676,3.31
2.718281828,3.67
2.558751011,3.67
3.056502523,3.67
2.193130193,3.67
4.03981681,4.29
2.254466494,3.67
2.096695825,3.56
3.80554698,4.29
2.399022261,3.67
3.9900963,4.29
3.616683006,3.56
3.466127751,4.29
3.288171706,4.29
5.396452207,4.29
1.90304013,3.67
3.828307046,4.29
2.621607887,3.67
4.264176623,3.67
2.963466894,3.67
3.260379462,3.67
5.631375801,4.29
2.480561681,3.67
2.952893007,4.29
3.145988144,3.67
2.694536154,3.67
3.73617864,4.29
1.701446747,4.07
4.486438868,3.56
3.73617864,3.67
3.222835993,3.67
4.136937368,4.47
1.884134296,3.84
2.596702859,3.67
3.466127751,4.29
2.920871431,3.56
3.213360695,4.47
2.129473692,4.07
2.177442994,3.84
1.563861418,3.67
4.217880261,4.29
2.011679618,3.67
2.145618797,3.67
2.453773616,4.47
2.299079701,3.67
2.520051369,4.07
3.575688872,3.67
2.356865353,3.67
3.155727681,3.84
4.380317696,4.29
2.994897517,3.84
5.991160686,4.29
2.299079701,4.07
3.015614793,3.67
2.866461789,3.84
3.155727681,3.84
2.096695825,3.84
3.649047687,4.47
3.665090676,4.29
