CAISNID,CAL,TPL,SIO3L,DOCL,PH,INVERT,DEPTHL,AREAL,BythoDens,MaxTL,LAKE,SAMPLE DATE,LATITUDE,LONGITUDE
05-275,0.434568904,0.73239376,0.181843588,0.579783597,6.45,0,1.568201724,1.835499373,0.006390881,4.29,Harp Lake,24-Jun-09,452300,790700
05-293,0.485721426,0.924279286,0.209515015,0.857332496,6.85,6,1.29666519,2.095413276,0,3.67,Oudaze Lake,7-Jul-09,452700,791100
05-295,0.431363764,0.763427994,-0.37675071,0.568201724,6.43,0,0.929418926,0.797907872,0,3.31,Lucy Lake,8-Jul-09,452400,785400
05-296,0.214843848,0.643452676,-0.22184875,0.544068044,6.46,6,1.096910013,1.431728716,0,3.67,Niger Lake,8-Jul-09,452400,785100
05-297,0.456366033,0.763427994,-1,0.322219295,6.84,5,1.342422681,1.594624525,0,4.47,Bonnie Lake,9-Jul-09,450800,791600
05-298,0.401400541,0.698970004,-0.552841969,0.633468456,6.69,1,1.267171728,2.276874414,0.001129577,4.47,Leonard Lake,9-Jul-09,450400,792700
05-299,0.401400541,0.819543936,-0.107905397,0.748188027,7.06,6,1.267171728,1.549574506,0,3.67,Benson Lake,14-Jul-09,452500,790400
05-300,0.170261715,0.991226076,-0.468521083,0.698970004,6.35,1,0.740362689,1.526842429,0,0,Toad Lake,14-Jul-09,452600,785600
05-306,0.444044796,0.748188027,-0.045757491,0.643452676,6.9,5,1.498310554,1.984265628,0,4.47,Bay Lake,17-Jul-09,453000,791200
05-309,0.187520721,1.133538908,-0.420216403,0.913813852,5.42,1,1.017033339,1.453722655,0,4.47,Rose Lake,19-Jul-09,451400,792100
05-312,0.380211242,0.579783597,-0.036212173,0.531478917,6.85,3,1.181843588,2.029764956,0.000962596,3.56,Sucker Lake,21-Jul-09,451500,794100
05-317,0.120573931,0.857332496,-0.585026652,0.51851394,5.32,0,0.799340549,1.117629149,0,0,Tabor Lake,28-Jul-09,452600,793100
05-319,1.178976947,0.944482672,-0.522878745,0.755874856,6.3,0,0.913813852,0.886465167,0,3.67,Nutt Lake,29-Jul-09,451300,792700
05-322,0.499687083,0.806179974,-0.37675071,0.763427994,6.6,3,1.136720567,1.897335345,0,3.84,Leech Lake,2-Aug-09,450000,793800
05-327,0.397940009,0.763427994,-0.397940009,0.69019608,5.93,2,1.371067862,2.857845605,0.001869979,4.07,Healey Lake (2),4-Aug-09,451000,795500
05-328,1.089905111,0.924279286,0.152288344,0.857332496,6.35,1,0.77815125,2.170054652,0.003139632,4.29,Stewart Lake,4-Aug-09,450800,794600
05-334,0.017033339,0.681241237,-1.397940009,0.491361694,5.32,0,1.252853031,0.99204071,0,0,Coffee Lake,10-Aug-09,453700,790200
05-335,0.350248018,1.086359831,-0.119186408,0.716003344,6.35,3,1,1.206524989,0,3.31,Round Lake,21-Jun-10,453600,790000
05-342,1.127104798,0.556302501,-0.251811973,0.72427587,6.07,2,1.041392685,1.399674637,0,3.84,Burnt (Joselin) Lake,18-Aug-09,451400,795000
05-348,0.383815366,0.77815125,-0.026872146,0.591064607,6.36,2,1.155336037,2.574094892,0.003142049,4.47,Wood Lake,20-Aug-09,450100,790500
05-349,0.250420002,0.806179974,-0.142667504,0.819543936,6.27,1,1.079181246,0.478494525,0,0,Kootchie Lake,24-Aug-09,453200,784000
05-355,0.214843848,0.342422681,0.064457989,0.505149978,6.43,3,1.278753601,1.672811543,0,4.29,Sawyer Lake,27-Aug-09,453900,785400
05-360,0.394451681,0.556302501,0.245512668,0.62324929,6.76,6,1.563481085,2.288428881,0.0008365,4.29,Livingstone Lake,1-Sep-09,452200,784300
05-361,0.745074792,1.100370545,-0.167491087,0.72427587,7.12,6,1.041392685,2.932791943,0.013266032,4.47,Three Mile Lake,1-Sep-09,451000,792700
06-001,0.334453751,1,0.31386722,0.612783857,7.07,3,1.230448921,2.173367987,0.004150835,3.67,Paint Lake,8-Jun-10,451300,785530
06-003,0.499687083,0.86923172,0.093421685,0.806179974,6.15,1,1.089905111,1.958584462,0,3.84,Echo Lake (1),5-Aug-10,445800,793300
06-005,0.376576957,1.086359831,-1,0.875061263,6.47,2,0.949390007,1.923840547,0,3.84,Gullwing Lake,11-Jul-10,445900,793200
06-006,0.465382851,1.617000341,-0.142667504,0.934498451,6.72,0,0.602059991,1.722725609,0,3.84,Black Lake,11-Jul-10,450000,793400
06-007,0.404833717,0.643452676,-1,0.591064607,6.46,6,1.28780173,1.992851194,0,3.67,Hardy Lake,18-Aug-10,450000,793200
06-008,0.354108439,0.748188027,-0.522878745,0.785329835,6.52,0,0.785329835,1.308439506,0,3.67,West Buck Lake,7-Jul-10,450200,790600
06-010,0.462397998,0.903089987,-0.522878745,0.591064607,6.93,3,0.716003344,1.769738402,0,3.67,Bird Lake,29-Jun-10,450200,790400
