CAISNID,CAL,TPL,SIO3L,DOCL,PH,INVERT,DEPTHL,AREAL,BYTHO,BYTHO_PA
05-289,0.563481085,1.056904851,-0.017728767,0.785329835,6.67,1,1.079181246,1.162762938,0,0
05-293,0.485721426,0.924279286,0.209515015,0.857332496,6.85,6,1.29666519,2.095413276,0,0
05-303,0.459392488,1.093421685,0.100370545,0.919078092,6.47,4,0.62324929,0.981553547,0,0
05-335,0.350248018,1.086359831,-0.119186408,0.716003344,6.35,3,1,1.206524989,0,0
06-001,0.334453751,1,0.31386722,0.612783857,7.07,3,1.230448921,2.173367987,0.004150835,1
06-002,0.365487985,0.832508913,-0.494850022,0.662757832,6.5,3,0.977723605,2.195007236,0,0
06-003,0.499687083,0.86923172,0.093421685,0.806179974,6.15,1,1.089905111,1.958584462,0,0
06-004,0.361727836,0.832508913,-0.318758763,0.612783857,6.81,3,0.826074803,1.871056197,0,0
06-005,0.376576957,1.086359831,-1,0.875061263,6.47,2,0.949390007,1.923840547,0,0
06-006,0.465382851,1.617000341,-0.142667504,0.934498451,6.72,0,0.602059991,1.722725609,0,0
06-007,0.404833717,0.643452676,-1,0.591064607,6.46,6,1.28780173,1.992851194,0,0
06-008,0.354108439,0.748188027,-0.522878745,0.785329835,6.52,0,0.785329835,1.308439506,0,0
06-010,0.462397998,0.903089987,-0.522878745,0.591064607,6.93,3,0.716003344,1.769738402,0,0
06-011,0.318063335,0.602059991,-0.468521083,0.531478917,6.81,2,1.53529412,2.02597051,0,0
06-012,0.850033258,1.338456494,-0.795880017,0.763427994,6.89,6,0.602059991,1.357301979,0,0
06-013,0.733999287,1.176091259,-1,0.785329835,7.21,6,0.716003344,1.796976174,0,0
06-014,0.846337112,0.763427994,-0.443697499,0.770852012,7.35,0,1.096910013,1.405823463,0.000599002,1
06-015,0.645422269,1.462397998,0.079181246,1.071882007,6.55,2,0.903089987,2.065398362,0,0
06-016,0.444044796,0.792391689,-0.055517328,0.681241237,6.43,0,0.838849091,1.961056394,0.007518354,1
06-017,0.245512668,0.963787827,-0.522878745,0.662757832,6.03,0,0.924279286,1.271515162,0,0
06-019,0.380211242,1.334453751,-1,0.770852012,6.51,4,1.146128036,1.739563226,0,0
06-020,0.346352974,1.056904851,-0.37675071,0.826074803,5.92,0,1.152288344,1.345256973,0,0
06-022,0.225309282,0.973127854,-1,0.62324929,6.46,0,0.544068044,1.063526666,0,0
06-023,0.588831726,1.041392685,-0.180456064,0.662757832,7.39,0,0.785329835,2.04844314,0,0
