CAISNID,HellS1,HellS2,HellS3,HellS4,HellS5
05-275,0.660556907,0.549279251,0.387668801,0.293156774,0.160402253
05-289,0.448827187,0.441714429,0.393878733,0.452017242,0.493945823
05-293,0.58089144,0.597194573,0.460491119,0.263602832,0.156157783
05-295,0.707478839,0.637987185,0.20245726,0.226841578,0
05-296,0.610886819,0.44259249,0.50433167,0.420212742,0
05-297,0.497623811,0.54299035,0.460538585,0.3775452,0.320773839
05-298,0.607795769,0.455169814,0.450300492,0.425890863,0.198119115
05-299,0.573372866,0.512612439,0.535323526,0.218843615,0.272044552
05-300,0.812158756,0.500871319,0.23053958,0.190729073,0
05-303,0.910342367,0.413855984,0,0,0
05-306,0.708865232,0.476314332,0.41558832,0.273216943,0.152556842
05-309,0.518661789,0.493410527,0.454237574,0.455991827,0.270694811
05-312,0.707146123,0.481597802,0.399267749,0.329534797,0
05-317,0.9428006,0.33335721,0,0,0
05-319,0.65238956,0.64537025,0.371142968,0.141908421,0
05-322,0.868973012,0.406950476,0.174395996,0,0.221050335
05-327,0.71625766,0.382365518,0.358336567,0.317512296,0.333994644
05-328,0.705270379,0.488453014,0.446135142,0.254893666,0
05-334,0.902572603,0.405960419,0.143383525,0,0
05-335,0.514530911,0.480444763,0.492424179,0.420552983,0.291692281
05-342,0.537263302,0.427307151,0.485940806,0.440213193,0.314373379
05-348,0.402926046,0.564792534,0.426090724,0.437901421,0.381246685
05-349,0.538539274,0.466019108,0.411199178,0.383633581,0.420169196
05-355,0.609025617,0.460980855,0.472137943,0.419153179,0.134092598
05-360,0.605989085,0.65729161,0.422491664,0.149150128,0
05-361,0.570785876,0.420437925,0.396509946,0.52308339,0.258067945
06-001,0.685472539,0.543160731,0.417011064,0.140874229,0.203371687
06-002,0.658297977,0.582587872,0.422459039,0.220824599,0
06-003,0.57907837,0.550287767,0.39686315,0.369331072,0.26066418
06-004,0.594235347,0.492844629,0.4897223,0.405167364,0
06-005,0.534441737,0.556084622,0.466669593,0.348109696,0.257256788
06-006,0.886727686,0.462292128,0,0,0
06-007,0.744240847,0.454136824,0.345627286,0.261280578,0.228340853
06-008,0.553435595,0.691859175,0.386926142,0.195077047,0.165145481
06-010,0.751613676,0.559741749,0.348949935,0,0
06-011,0.672952391,0.539917686,0.406612716,0.174578605,0.2445657
06-013,0.892638676,0.401485759,0.20495214,0,0
06-014,0.427405916,0.316684505,0.551454611,0.553477328,0.326490071
06-015,0.628622076,0.578000763,0.42510064,0.300064743,0
06-016,0.440084442,0.40046703,0.584806228,0.551319795,0
06-017,0.599500738,0.555309342,0.446975527,0.313853649,0.18422585
06-019,0.764767898,0.514872301,0.367848394,0.121343043,0
06-020,0.561000087,0.432494583,0.379014754,0.427413735,0.414599389
06-022,0.992487114,0.122349209,0,0,0
06-023,0.518873574,0.632442788,0.501823358,0.2809976,0
06-024,0.791964348,0.464654419,0.17318358,0.244554464,0.259016033
06-025,0.811195609,0.486108298,0.325054467,0,0
06-026,0.766178748,0.535439054,0.355352142,0,0
06-027,0.773582299,0.574743471,0.266908917,0,0
06-028,0.662177449,0.650105135,0.347501996,0.13463544,0
06-029,0.89037342,0.436113011,0.130539705,0,0
06-030,0.482886872,0.579294464,0.463634063,0.36457201,0.288736729
06-031,0.585414115,0.611401617,0.429080761,0.266612036,0.168184718
06-032,0.81214373,0.541806264,0.216491417,0,0
06-033,0.528179412,0.523227224,0.484713545,0.377376722,0.26438489
06-034,0.849293545,0.358719089,0,0.387325561,0
06-036,0.58287157,0.464483307,0.502921611,0.403472429,0.169693379
06-037,0.541606149,0.640241619,0.37450992,0.318994929,0.233961544
06-038,0.517752664,0.520066679,0.521274481,0.392853287,0.188154294
06-039,0.948386971,0.317115361,0,0,0
06-040,0.535774328,0.656392651,0.459622067,0.266161818,0
06-041,0.718465658,0.623783822,0.307735019,0,0
06-042,0.689865937,0.643321498,0.268991683,0.194591658,0
06-044,0.514478157,0.604153535,0.474523724,0.338548977,0.174707059
06-045,0.667469101,0.385077349,0.369983983,0.374646154,0.359099632
06-046,0.409392395,0.469331367,0.516821161,0.46790509,0.35508682
06-047,0.858462064,0.512877065,0,0,0
06-048,0.792145945,0.525307669,0.310735666,0,0
06-049,0.509048885,0.461709566,0.550602482,0.425884734,0.207732063
06-050,0.42549299,0.499013742,0.476532635,0.477837219,0.33842169
06-051,0.425900383,0.430808128,0.474001131,0.525211898,0.363989849
06-052,0.380321358,0.343646775,0.372372795,0.501111968,0.589481006
06-053,0.580072264,0.521531081,0.391401344,0.399164164,0.281059528
06-054,0.620479421,0.477725314,0.49381673,0.378059321,0
06-055,0.618811024,0.515344581,0.456888586,0.377817019,0
06-056,0.470837143,0.533488475,0.512441103,0.427744258,0.21941148
06-057,0.597120863,0.592890715,0.468747636,0.268706026,0
06-058,0.801549297,0.506818463,0.317259784,0,0
06-059,0.551908232,0.38612719,0.36409385,0.448408735,0.461159811
06-060,0.664383766,0.520727152,0.334831658,0.33317937,0.2536074
06-061,0.490984258,0.502382664,0.445277862,0.4195735,0.363636936
06-064,0.757308599,0.500666638,0.261656326,0.216775557,0.245684614
06-065,0.780766679,0.480139399,0.399836904,0,0
06-066,0.7353174,0.556624549,0.36298229,0.133121336,0
06-067,0.589458494,0.591275936,0.493195879,0.244313888,0
06-068,0.677174183,0.583550582,0.342145827,0.208210313,0.201217651
06-070,0.506516154,0.670978887,0.425530998,0.298325972,0.152163412
06-073,0.737964701,0.495966252,0.351639154,0.292874517,0
06-075,0.557857812,0.654531955,0.365214228,0.262960634,0.240526204
06-076,0.876209633,0.360893705,0.31939382,0,0
06-077,0.832016128,0.509854218,0.218627169,0,0
06-078,0.706509847,0.575115325,0.345427954,0,0.225312509
06-079,0.712833824,0.344892882,0.451347481,0.41134206,0
06-080,0.765454217,0.597353236,0,0.239267536,0
06-081,0.457576489,0.619588912,0.498820015,0.341005163,0.204027961
06-082,0.532570395,0.650072975,0.421508012,0.298016061,0.16520086
06-083,0.859549288,0.346386196,0.248941947,0,0.281459644
06-085,0.636540189,0.605631685,0.416879565,0.232891129,0
06-086,0.623436353,0.494692104,0.474273827,0.376392312,0
06-087,0.89327303,0.390309018,0.136810652,0.176082397,0
06-090,0.54553105,0.686941154,0.414728988,0.241883425,0
06-092,0.605127444,0.575471931,0.387082289,0.318558084,0.226585266
06-093,0.768569596,0.536575055,0.284147694,0.148264422,0.136622603
06-095,0.89496852,0.446129296,0,0,0
06-096,0.651046401,0.689962149,0.181651809,0.153679814,0.208508875
06-097,0.548335043,0.409061718,0.492791073,0.45815187,0.281515567
06-098,0.449449763,0.496070066,0.539534468,0.451298842,0.239042493
06-099,0.485718515,0.487388785,0.401096392,0.316617508,0.515174469
06-100,0.678304349,0.456829142,0,0,0.57550877
06-102,0.405487761,0.576907943,0.540084417,0.420308302,0.185490311
06-103,0.546076682,0.501105954,0.450892599,0.317298689,0.383028049
06-104,0.829722969,0.514339834,0.216827882,0,0
06-105,0.526017992,0.485931983,0.492694846,0.450080542,0.204583662
06-106,0.443824955,0.529836043,0.484956164,0.431828261,0.317230277
06-107,0.582901671,0.350001812,0.485032442,0.475438466,0.276452833
06-108,0.664496486,0.445018473,0.429140123,0.397134665,0.136109485
06-109,0.923294887,0.329220356,0,0.197839603,0
06-110,0.734746686,0.536642023,0.321158792,0.262715963,0
06-111,0.90802998,0.356503344,0,0.219970275,0
06-112,0.511103415,0.353974985,0.437238746,0.571666344,0.309022456
06-113,0.524641964,0.601858679,0.460882989,0.346311875,0.173700589
06-116,0.587571645,0.545250076,0.469672886,0.369958508,0
06-118,0.831982484,0.456573047,0.226684971,0.218997996,0
06-119,0.838092951,0.405459698,0.259714387,0,0.256419726
06-120,0.603441981,0.620715347,0.377963404,0.273813238,0.180942557
06-121,0.682934022,0.568953949,0.341214948,0.242001509,0.186815828
06-122,0.602155144,0.454299802,0.373772301,0.386510921,0.376728613
06-123,0.556099286,0.530173361,0.446191806,0.376541429,0.262296046
06-124,0.722397507,0.490029819,0.361860115,0.218657127,0.243431588
06-125,0.667185034,0.483931711,0.412699891,0.355188845,0.15554393
06-126,0.421656429,0.700977494,0.507932536,0.165694388,0.213040646
06-127,0.591205635,0.461106054,0.429607438,0.430062657,0.261420473
06-128,0.635857552,0.581386708,0.291156179,0.266826808,0.3189141
06-129,0.552709345,0.570131475,0.470917863,0.335178866,0.188026526
06-131,0.580588286,0.397034112,0.443038342,0.449408815,0.327154247
06-132,0.679433042,0.50656724,0.33654055,0.342312511,0.226545747
06-133,0.722722455,0.440707657,0.435968638,0.305582005,0
06-134,0.546707672,0.549377029,0.396767231,0.397307754,0.289858439
06-135,0.599203097,0.506991643,0.456435284,0.291573452,0.30094331
06-136,0.687905716,0.389835363,0.328228206,0.366766348,0.364091756
06-137,0.731918946,0.5407362,0.35117232,0.139112141,0.17095272
06-138,0.765615477,0.544077019,0.303770027,0.159802721,0
06-139,0.576799481,0.532479871,0.491176322,0.331309547,0.18096229
06-140,0.836128327,0.469317294,0.254710835,0.125511309,0
06-141,0.544308026,0.397032218,0.517352673,0.464453267,0.25044673
06-142,0.569964639,0.648779837,0.440297372,0.245689351,0
06-143,0.740124214,0.529228276,0.289726199,0.221512778,0.197798884
06-144,0.485406958,0.432917202,0.4029282,0.444805982,0.465574146
06-145,0.693334468,0.504104531,0.421088783,0.256005506,0.149369862
06-147,0.616407879,0.492716675,0.442556951,0.397899864,0.151956074
06-148,0.750240736,0.508375334,0.30031526,0.252963963,0.156567349
06-149,0.548548159,0.594336328,0.446580807,0.350746968,0.152975139
06-150,0.450808137,0.3806732,0.566063135,0.484674968,0.310680932
06-152,0.896588391,0.384469161,0,0.219801552,0
06-153,0.618886811,0.502030593,0.432591431,0.379714471,0.18337386
06-154,0.641040763,0.494715763,0.408334866,0.377339741,0.187617726
06-156,0.853592053,0.474343535,0.131376975,0.170642631,0
06-158,0.72711344,0.476081595,0.29379335,0.188855416,0.350244857
06-159,0.571579944,0.536823375,0.366694412,0.288334175,0.409286749
06-160,0.546581927,0.542284568,0.423930184,0.324278132,0.349717794
06-162,0.524854965,0.640017904,0.438172699,0.243764671,0.251967893
06-163,0.566600718,0.53681932,0.41425519,0.289785605,0.36770312
06-164,0.720730275,0.599153976,0.282305881,0.204611274,0
06-165,0.817297559,0.368578092,0.164803144,0.411114113,0
06-166,0.900305861,0.435257805,0,0,0
06-168,0.757708989,0.492634542,0.394326961,0.16641678,0
06-170,0.77470308,0.632325184,0,0,0
06-171,0.824693958,0.373571251,0.152004983,0.192766971,0.346496431
06-172,0.561257337,0.580862792,0.439867528,0.320746489,0.226333527
06-173,0.601559818,0.486608262,0.409202594,0.358582601,0.324514929
06-174,0.537404948,0.605900913,0.493338179,0,0.317328611
06-175,0.885547603,0.394148753,0.190973236,0.154859375,0
06-176,0.72444167,0.599326858,0.340575372,0,0
06-177,0.671093214,0.533005254,0.432111481,0.16914237,0.224075488
06-178,0.519169987,0.532965263,0.412099942,0.408127487,0.331686817
06-179,0.60866941,0.682918082,0.374535585,0.151220166,0
06-180,0.856878048,0.468053324,0.216069656,0,0
06-182,0.720706731,0.421414662,0.345904496,0.315019611,0.290007267
06-183,0.61283042,0.445559518,0.450318838,0.392897098,0.262222057
06-184,0.503169982,0.54733107,0.408897436,0.40259572,0.343465051
06-185,0.632782324,0.451944088,0.507648248,0.33021518,0.169068812
06-186,0.435746995,0.611560053,0.537844366,0.383200072,0
06-187,0.626994184,0.472418501,0.370840574,0.379033627,0.320171565
06-189,0.511354846,0.63810634,0.357913381,0.347157266,0.287604528
06-190,0.505190239,0.646852696,0.480943293,0.30831471,0
06-192,0.658210955,0.42076329,0.380892495,0.426926112,0.249743059
06-193,0.754915847,0.490421674,0.288264934,0.197089984,0.260091353
06-194,0.478070007,0.463260189,0.379475483,0.448067759,0.460513525
06-195,0.596942465,0.368373205,0.371662894,0.457206425,0.400986102
06-196,0.408489959,0.646656363,0.482138726,0.380478468,0.194293299
06-197,0.546327194,0.563256614,0.41321826,0.377794744,0.266064625
06-198,0.783675868,0.495113379,0.252862099,0.228217817,0.157137721
06-199,0.493197858,0.522804063,0.43998379,0.38469657,0.376635897
06-200,0.54210005,0.427939027,0.421100138,0.45298462,0.374800391
06-201,0.672302389,0.450401965,0.449969217,0.377723804,0
06-202,0.758536285,0.533301275,0.244283768,0.283791992,0
06-203,0.600481379,0.676757001,0.425936704,0,0
06-204,0.710987948,0.537287364,0.453672158,0,0
06-205,0.832256947,0.540294685,0.12421766,0,0
06-206,0.892277053,0.368932087,0.194659358,0.172738271,0
06-207,0.582271666,0.535865513,0.386467578,0.367748104,0.298683784
06-208,0.495911785,0.428879286,0.487779763,0.432388836,0.381110033
06-209,0.42195479,0.520040098,0.52829617,0.384121839,0.353363866
06-210,0.794432205,0.421304206,0.343336679,0.271109134,0
06-211,0.435395568,0.445722402,0.389876396,0.429452118,0.524718508
06-212,0.802359138,0.510309855,0.309521672,0,0
06-213,0.685219687,0.49207346,0.497247247,0.202689086,0
06-214,0.837099,0.443015137,0.320940576,0,0
06-215,0.490429383,0.465042996,0.416521627,0.425842879,0.434029503
06-216,0.49824519,0.415141093,0.504491192,0.452186493,0.34702394
06-217,0.778406854,0.590521846,0.212994648,0,0
06-219,0.866504027,0.425841223,0.260441978,0,0
06-221,0.653503005,0.642187106,0.400661383,0,0
06-222,0.490186072,0.476506006,0.380834443,0.462830171,0.416428866
06-223,0.782069479,0.524157193,0.24840264,0.227865518,0
06-224,0.740963601,0.532276615,0.293729043,0.285267937,0
06-225,0.598514573,0.544086279,0.441518687,0,0.38834479
06-226,0.491344237,0.545642268,0.352641349,0.373130853,0.444154029
06-227,0.45110862,0.485579841,0.406233047,0.46475207,0.42390265
06-228,0.762666396,0.613760066,0.20405526,0,0
06-229,0.776359846,0.473477453,0.356614388,0.21426775,0
06-230,0.514968023,0.426254899,0.368292179,0.504770314,0.403339182
06-231,0.856561832,0.394385061,0.146756667,0.160815816,0.251720092
06-232,0.639910104,0.449723246,0.394924852,0.288677557,0.385958146
06-233,0.872064133,0.364178012,0.208402221,0.251886954,0
06-234,0.694195068,0.432409498,0.328811923,0.339380356,0.328357926
06-235,0.860288098,0.435351287,0.265280315,0,0
06-236,0.632093001,0.613658405,0.401988787,0.249573264,0
06-237,0.482844546,0.603454295,0.424372033,0.395762218,0.256874878
06-240,0.524025825,0.453315108,0.348667638,0.454762261,0.437635136
06-241,0.677014963,0.487050279,0.399525119,0.293816177,0.241835687
06-242,0.629861866,0.585336657,0.438097389,0.262155881,0
06-243,0.61129434,0.516729161,0.470723891,0.258640103,0.266147553
06-244,0.487115569,0.423733677,0.365446887,0.462686948,0.485322114
06-245,0.771932901,0.44303552,0.289795661,0.351934083,0
06-246,0.553556647,0.535853211,0.39415341,0.367628647,0.340482953
06-247,0.903187512,0.38177183,0.19622076,0,0
06-248,0.824810494,0.448556246,0.26042274,0.225088741,0
06-249,0.74651333,0.500298733,0.278597286,0.259698251,0.217622142
06-250,0.695187013,0.552927307,0.322298253,0.192382783,0.264762366
06-252,0.875884691,0.404587994,0.21647828,0.149237116,0
06-253,0.462206398,0.486558095,0.402119132,0.46160678,0.418145728
06-254,0.880115,0.457583293,0.126550847,0,0
06-256,0.695523646,0.552337088,0.333982155,0.195409052,0.247874609
06-257,0.773072253,0.569050521,0.212493975,0.182721391,0
06-258,0.738674276,0.501594578,0.324292886,0.193916649,0.244936014
06-259,0.80050714,0.499521486,0.331159484,0,0
06-260,0.462064136,0.462197124,0.393506615,0.404281415,0.504558851
06-261,0.437929795,0.488980171,0.450721806,0.384208075,0.467279248
06-262,0.558469143,0.441847374,0.521709081,0.34089755,0.32325162
