LakeNum,CAISNID,S1,S2,S3,S4,S5
176,05-275,1.538665191,1.063922613,0.529962762,0.303056443,0.090728678
260,05-293,1.223547354,1.293190582,0.768906171,0.251959636,0.088421545
226,05-295,1.435293445,1.16717964,0.117538597,0.147556761,0
249,05-296,1.382419986,0.725648956,0.942217089,0.654119247,0
33,05-297,0.953734894,1.135558704,0.8168784,0.548988534,0.396299251
206,05-298,1.434867304,0.80471723,0.787591896,0.704519535,0.152457627
19,05-299,1.16666499,0.932502863,1.016961594,0.169957233,0.262634611
331,05-300,1.777148608,0.675918311,0.143196657,0.098011194,0
14,05-306,1.661096922,0.749989047,0.570945018,0.246764612,0.076936248
292,05-309,1.111687194,1.006076299,0.852668475,0.85926716,0.302812611
323,05-312,1.682368642,0.780318365,0.536329023,0.365346875,0
324,05-317,1.872312914,0.234076835,0,0,0
255,05-319,1.358067212,1.32900049,0.439531222,0.064257466,0
204,05-322,1.857172969,0.40730796,0.074801929,0,0.120177214
181,05-327,1.631477884,0.464943384,0.408342788,0.320600155,0.354749373
320,05-328,1.66319058,0.797767454,0.665523806,0.217244512,0
111,05-334,1.883789118,0.381096863,0.047540801,0,0
293,05-335,1.077091321,0.939110102,0.986525518,0.71956664,0.346162053
40,05-342,1.160602446,0.734157855,0.949458239,0.779175408,0.397375103
354,05-348,0.60362491,1.186026421,0.675026197,0.712966589,0.540416525
197,05-349,1.03600134,0.775770042,0.603990396,0.525725192,0.630629053
297,05-355,1.437986279,0.82385238,0.864214262,0.681128652,0.069709703
217,05-360,1.217694179,1.432599529,0.591895333,0.073765941,0
330,05-361,1.282806166,0.696014634,0.619045787,1.077349121,0.262230214
264,06-001,1.582260912,0.993469884,0.5855893,0.066828403,0.139276857
137,06-003,1.300526926,1.174422542,0.610838235,0.529025194,0.263516233
169,06-005,1.123839119,1.216704688,0.856884761,0.476799346,0.260397671
27,06-006,1.557904519,0.42344138,0,0,0
175,06-007,1.771925157,0.65976885,0.382150482,0.218389939,0.166795991
345,06-008,1.01311989,1.583295855,0.49520248,0.125874863,0.090211116
24,06-010,1.660714253,0.921045248,0.357957783,0,0
23,06-011,1.538642827,0.990431041,0.561734434,0.103550255,0.20321709
43,06-013,1.844747089,0.373186329,0.097250166,0,0
185,06-014,0.699700354,0.384135693,1.164797903,1.17335845,0.408292115
34,06-015,1.39204536,1.176876669,0.636586828,0.317178741,0
11,06-016,0.743335042,0.615525585,1.312612554,1.166594025,0
182,06-017,1.348292009,1.156843141,0.749500637,0.369537811,0.127322646
95,06-019,1.769086573,0.80184208,0.409286591,0.044536855,0
36,06-023,0.949927928,1.411269773,0.888524271,0.278594649,0
357,06-025,1.786933494,0.641687053,0.286925723,0,0
243,06-026,1.735325417,0.847502161,0.373283332,0,0
276,06-027,1.696958309,0.936712288,0.202015313,0,0
134,06-028,1.385862305,1.335790967,0.381668148,0.057291487,0
241,06-029,1.879730746,0.450971773,0.040405132,0,0
172,06-030,0.896439768,1.29011693,0.826382267,0.510971835,0.320504685
186,06-031,1.227855457,1.339288167,0.659627799,0.254671512,0.10134304
39,06-033,1.116108817,1.095277753,0.939969831,0.569762443,0.279651315
268,06-034,1.660021614,0.29614682,0,0.345263297,0
258,06-036,1.347633336,0.855788058,1.003290262,0.645734107,0.114223588
166,06-037,1.06547135,1.488889299,0.509449636,0.36960868,0.198821599
109,06-038,1.076177867,1.085818981,1.090868248,0.619583942,0.142124071
349,06-039,1.919754112,0.214639184,0,0,0
236,06-040,1.005582036,1.5093193,0.740040433,0.248167677,0
262,06-041,1.561282129,1.176894614,0.286433099,0,0
116,06-042,1.452546669,1.263155509,0.220840334,0.115571068,0
151,06-045,1.519897733,0.50588055,0.467001078,0.478844599,0.439928357
306,06-046,0.666560264,0.876030124,1.062283544,0.870713781,0.501451558
